name,region,address,phone,money
高雄市私立順心老人長期照顧中心(養護型),苓雅區,高雄市苓雅區二聖一路16號,07-7165977,21000
高雄市私立大順老人長期照顧中心（養護型）,前金區,高雄市前金區七賢二路220-8號1-5樓,07-2015501,21000
高雄市私立健生老人養護中心,前金區,高雄市前金區七賢二路426號3樓,07-2614912,16500
高雄市私立孝升老人長期照顧中心(養護型),前金區,高雄市前金區七賢二路256號1-6樓,07-2723067,18000
高雄市私立新松柏養護之家,三民區,高雄市三民區十全二路323號4樓,07-3229507,19000
高雄市私立富華養護中心,三民區,高雄市三民區九如二路150號15樓之1,07-3161076,19000
高雄市私立慈融老人長期照顧中心(養護型),三民區,高雄市三民區中華二路213號,07-3223278,21000
高雄市私立德安養護之家,三民區,高雄市三民區博愛一路55號11樓,07-3121010,21000
高雄市私立天誠老人養護中心,三民區,高雄市三民區九如二路150號5樓之1,07-3125009,21000
高雄市私立高生老人養護中心,三民區,高雄市三民區博愛一路372號8樓,07-3138636,21000
高雄市私立和興老人長期照顧中心(養護型),三民區,高雄市三民區建興路277號4樓,07-3871285,21000
高雄市私立佛心老人長期照顧中心(養護型),三民區,高雄市三民區寶安街62號1-2樓,07-3873677,20000
高雄市私立安心老人長期照顧中心(養護型),三民區,高雄市三民區凱歌路161號1樓,07-2223077,21000
高雄市私立永康老人養護中心,三民區,高雄市三民區建國二路2號8樓,07-2388603,18000
高雄市私立大昌老人長期照顧中心(養護型),三民區,高雄市三民區大昌二路346號2、3樓,07-3835495,22000
高雄市私立仁祥養護之家,三民區,高雄市三民區九如一路299、301號1-5樓,07-3973255,18000
高雄市私立信心養護中心,三民區,高雄市三民區自由一路61號(1-2樓),07-3137999,21000
高雄市私立立昌老人長期照顧中心(養護型),三民區,高雄市三民區大昌二路346號4、5樓,07-3835495,22000
高雄市私立昭和養護之家,三民區,高雄市三民區九如二路295號1-5樓,07-3222749,21000
高雄市私立善之老人長期照顧中心(養護型),三民區,高雄市三民區松江街348號,07-3228986,21000
高雄市私立普祐老人長期照顧中心(養護型),三民區,高雄市三民區自立一路226號4樓,07-3232938,22000
高雄市私立安泰老人長期照顧中心(養護型),三民區,高雄市三民區大昌二路268號4樓,07-3907789,25000
高雄市私立安大老人長期照顧中心(養護型),三民區,高雄市三民區大昌二路268號3樓,07-3978666,26000
高雄市私立珍心老人長期照顧中心(養護型),三民區,高雄市三民區建工路445號1樓,07-3806101,21000
高雄市私立新珍心老人長期照顧中心(養護型),三民區,高雄市三民區建工路445號2樓,07-3806101,21000
高雄市私立信心好老人長期照顧中心(養護型),三民區,高雄市三民區自由一路63號(3.4樓),07-3137999,21000
財團法人高雄市私立濟眾老人養護中心,楠梓區,高雄市楠梓區加昌路298號1.3.4.5.7.8樓,07-3639437,21000
高雄市私立吉仁養護中心,楠梓區,高雄市楠梓區清平街51巷2號1-3樓,07-3531408,20000
高雄市私立小護士老人長期照顧中心(養護型),楠梓區,高雄市楠梓區後昌路837巷11號1-2樓,07-3610037,21000
高雄市私立怡泉老人長期照顧中心（養護型）,楠梓區,高雄市楠梓區盛昌街255巷100號1-4樓,07-3685535,21000
高雄市私立健安老人養護中心,楠梓區,高雄市楠梓區東昌街17號1樓,07-3012490,21000
高雄市私立新健安老人養護中心,楠梓區,高雄市楠梓區東昌街19號1樓,07-3012490,21000
高雄市私立新禾康養護之家,楠梓區,高雄市楠梓區惠民路210號1樓,07-3644351,26000
高雄市私立崇恩老人長期照顧中心（養護型）,楠梓區,高雄市楠梓區立仁街131、133號5樓,07-3539619,25000
高雄市私立崇祐老人長期照顧中心（養護型）,楠梓區,高雄市楠梓區常德路317巷9弄29號,07-3516260,22000
高雄市私立德民老人長期照顧中心(養護型),楠梓區,高雄市楠梓區德民路797號,07-3626281,21000
高雄市政府社會局仁愛之家,燕巢區,高雄市燕巢區深水里深水路1號,07-6151439,20000
高雄市私立康欣老人長期照顧中心(養護型),燕巢區,高雄市燕巢區安東街188號1F,07-6141273,25000
財團法人濟興長青基金會附設高雄市私立濟興長青園老人長期照顧中心（長期照護型）,燕巢區,高雄市燕巢區橫山路72號,07-6155548,25000
高雄市私立天恩老人長期照顧中心(養護型),仁武區,高雄市仁武區仁勇路95號1-2樓,07-7334967,21000
高雄市私立雪美老人長期照顧中心（養護型）,仁武區,高雄市仁武區赤山里澄仁西街239號1樓,07-3727063,23000
高雄市私立信愛老人養護中心,仁武區,高雄市仁武區仁慈里仁慈路85巷18號1-2樓,07-7353687,20000
高雄市明山慈安居老人養護中心,仁武區,高雄市仁武區考潭里成功路5號1-3樓,07-3722268,24000
高雄市私立大灣家園老人長期照顧中心(養護型),仁武區,高雄市仁武區仁孝路450巷15號1-4樓,07-3746110,21000
高雄市私立鑫安大老人長期照顧中心(養護型),仁武區,高雄市仁武區北屋六街57號2樓,07-3736369,21000
高雄市私立鑫安泰老人長期照顧中心(養護型),仁武區,高雄市仁武區北屋六街57號1樓,07-3736635,21000
高雄市私立橋頭老人養護中心,橋頭區,高雄市橋頭區林里公厝北路46號1樓,07-6128510,18000
高雄市私立泰和老人養護中心,橋頭區,高雄市橋頭區橋頭里成功路97號1-4樓,07-6111128,21000
高雄市私立橋頭社區老人養護中心,橋頭區,高雄市橋頭區成功路8號1-5樓,07-6111108,19000
高雄市私立萬冠老人長期照顧中心（養護型）,橋頭區,高雄市橋頭區甲樹路1208號1至2樓,07-6130032,19000
高雄市私立菩心老人長期照顧中心（養護型）,大社區,高雄市大社區學府路196號1樓,07-3561393,19000
高雄市私立安康養護之家,左營區,高雄市左營區曾子路211號1樓,07-3459055,29000
高雄市私立新吉祥養護之家,左營區,高雄市左營區民族一路1167號3、4樓,07-3422435,20000
高雄市私立新如意老人長期照顧中心(養護型),左營區,高雄市左營區民族一路1167號1、2樓,07-3101731,20000
高雄市私立同心老人長期照顧中心(養護型),左營區,高雄市左營區大中一路430號1-4樓,07-3101122,23000
高雄市私立長群老人長期照顧中心(養護型),左營區,高雄市左營區重忠路155號1-5樓,07-3427181,22000
高雄市私立慈祐老人長期照顧中心(養護型),左營區,高雄市左營區左營大路554巷7號1-3樓,07-5889035,21000
高雄市私立日光樂家老人長期照顧中心（養護型）,左營區,高雄市左營區博愛四路250號2樓,07-3482999,24000
高雄市私立偉恩老人長期照顧中心(養護型),左營區,高雄市左營區文恩路200號1-3F,07-3508037,25000
高雄市私立福心老人長期照顧中心(養護型),左營區,高雄市左營區左營大路56號之1,07-5818877,23000
高雄市私立大福心老人長期照顧中心(養護型),左營區,高雄市左營區左營大路56號,07-5818877,23000
高雄市私立小福心老人長期照顧中心(養護型),左營區,高雄市左營區左營大路56號2樓,07-5818877,21000
高雄市私立冠仁老人長期照顧中心(養護型),左營區,高雄市左營區文上路116號,07-3411265,21000
高雄市私立睿祥老人長期照顧中心(養護型),左營區,高雄市左營區孔營路1號1樓,07-5880101,21000
高雄市私立日賀老人長期照顧中心(養護型),左營區,高雄市左營區博愛四路250號1樓,07-3482999,21000
高雄市私立睿城老人長期照顧中心(養護型),左營區,高雄市左營區孔營路1號2樓,07-5880197,25000
高雄市私立容安老人長期照顧中心(養護型),左營區,高雄市左營區文敬路28號,07-3501247,23000
高雄市私立文宗老人長期照顧中心（養護型）,鼓山區,高雄市鼓山區文忠路123號1-2樓,07-5530506,22000
高雄市私立華榮養護中心,鼓山區,高雄市鼓山區華榮路610號,07-5535111,23000
高雄市私立欣榮總養護中心,鼓山區,高雄市鼓山區葆禎路163號,07-5818501,23000
高雄市私立榮恩老人長期照顧中心(養護型),鼓山區,高雄市鼓山區葆禎路161號,07-5818501,23000
高雄市私立冠安老人養護中心,鼓山區,高雄市鼓山區美術北三路260號,07-5523031,23000
高雄市私立孝星老人養護中心,鼓山區,高雄市鼓山區鼓山三路108-18號,07-5814818,18000
高雄市私立良安老人養護中心,鼓山區,高雄市鼓山區永德街141號2樓,07-5857740,23000
高雄市私立高安老人長期照顧中心(養護型),鼓山區,高雄市鼓山區美術北三路262號,07-5523201,23000
高雄市私立永安老人長期照顧中心(養護型),鼓山區,高雄市鼓山區永德街143號,07-5857740,23000
高雄市私立九如老人長期照顧中心（養護型）,鼓山區,高雄市鼓山區九如四路1034號1-6樓,07-5215820,26000
高雄市私立仁心老人長期照顧中心(養護型),鼓山區,高雄市鼓山區九如四路637號1樓,07-5336363,21000
高雄市私立新仁心老人長期照顧中心(養護型),鼓山區,高雄市鼓山區九如四路637號2樓,07-5336363,21000
財團法人高雄市私立永安老人養護中心,大寮區,高雄市大寮區過溪里濃中街12號1-5樓,07-7881876,21000
財團法人高雄市私立張簡秋風社會福利慈善事業基金會附設高雄市私立松喬老人養護中心,大寮區,高雄市大寮區內坑里內坑路77之36號B1-3樓,07-7830789,21000
高雄市私立福安老人養護中心,大寮區,高雄市大寮區中正路3之1號 1樓,07-7816000,21000
高雄市私立慈安老人長期照顧中心（養護型）,大寮區,高雄市大寮區中正路3之48號1樓,07-7818088,21000
高雄市私立真安老人長期照顧中心(養護型),大寮區,高雄市大寮區八德路570號1樓(含夾層),07-7027779,23000
高雄市私立博仁老人長期照顧中心（長期照護型）,大寮區,高雄市大寮區九和路23、25號1至2樓,07-6518879,23000
高雄市私立成大老人養護中心,鳳山區,高雄市鳳山區南京路387巷2之1-2號1-2樓,07-7663348,18000
高雄市私立文清老人養護中心,鳳山區,高雄市鳳山區文清街125巷16號1-2樓,07-7801658,21000
高雄市私立康齡老人養護中心,鳳山區,高雄市鳳山區中山東路559號1-3樓,07-7025536,20000
高雄市私立信展老人養護中心,鳳山區,高雄市鳳山區光復路6號1-4樓,07-7482383,25000
高雄市私立安祥老人長期照顧中心(養護型),鳳山區,高雄市鳳山區南京路49巷6號1樓,07-7663456,18000
高雄市私立長松老人養護中心,鳳山區,高雄市鳳山區五權路97號1-3樓,07-7460957,21000
高雄市私立松霖老人長期照顧中心（養護型）,鳳山區,高雄市鳳山區經武路156號1-4樓,07-7425829,21000
高雄市私立鳳新老人養護中心,鳳山區,高雄市鳳山區南京路391巷1號1-2樓,07-7663348,15000
高雄市私立真善美老人長期照顧中心（養護型）,鳳山區,高雄市鳳山區經武路85之21號1-4樓,07-7482383,21000
高雄市私立青園老人長期照顧中心（養護型）,鳳山區,高雄市鳳山區鳳頂路56號1-3樓,07-7969090,18000
高雄市私立快樂家族老人長期照顧中心（養護型）,鳳山區,高雄市鳳山區經武路85之20號1-3樓,07-7475675,21000
高雄市私立宏亞老人長期照顧中心(養護型),鳳山區,高雄市鳳山區五甲三路12號1-5樓,07-8211218,21000
高雄市私立新長松老人長期照顧中心（養護型）,鳳山區,高雄市鳳山區中山西路70之1號1至2樓,07-7409781,19000
高雄市私立親育園老人養護中心,林園區,高雄市林園區鳳林路3段127號1樓,07-6466535,18000
高雄市私立祐德老人長期照顧中心（養護型）,林園區,高雄市林園區鳳林路2段700號1至3樓,07-6427307,21000
財團法人高雄市私立宏仁老人長期照顧中心（養護型）,鳥松區,高雄市鳥松區神農路971巷96號1-2樓,07-6512656,27000
高雄市私立圓山老人養護中心,鳥松區,高雄市鳥松區圓山路27號1樓,07-3709676,21000
高雄市私立慈善園老人養護中心,鳥松區,高雄市鳥松區大同路2之115號1樓,07-7334113,21000
高雄市私立健康老人長期照顧中心（養護型),鳥松區,高雄市鳥松區鳥松里東山路橫一巷3號1樓,07-7321129,20000
高雄市私立大同老人長期照顧中心（養護型）,鳥松區,高雄市鳥松區坔埔里大同路8號1樓,07-7336188,21000
高雄市私立欣緣老人長期照顧中心（養護型）,鳥松區,高雄市鳥松區神農路150巷81號,07-7313030,21000
高雄市私立千葉老人長期照顧中心(養護型),大樹區,高雄市大樹區姑山里姑山路19之1號1樓,07-6565119,20000
高雄市私立新樂園老人長期照顧中心（養護型）,大樹區,高雄市大樹區姑山里姑山路19之2號1樓,07-6565119,21000
高雄市私立欣家老人長期照顧中心(養護型),大樹區,高雄市大樹區中山路26號,07-6521155,21000
財團法人高雄市私立萃文書院社會福利慈善事業基金會附設萃文佛恩養護院,內門區,高雄市內門區觀亭里番子路16之10號B1-4樓,07-6672888,20000
高雄市私立博愛老人長期照顧中心（養護型）,岡山區,高雄市岡山區前鋒里阿公店路3段226號1樓,07-6251515,21000
財團法人高雄市私立淨覺社會福利基金會附設高雄市私立淨覺老人養護中心,阿蓮區,高雄市阿蓮區復安里9鄰復安95之70號B1-2樓,07-6333720,21000
高雄市私立愛欣老人養護中心,美濃區,高雄市美濃區中圳里泰安路249巷2之1號1樓,07-6813958,21000
高雄市私立吉園老人養護中心,美濃區,高雄市美濃區吉和里四維50之1號1樓,07-6832379,18000
高雄市私立新效堂老人養護中心,美濃區,高雄市美濃區獅山里獅山街35號1樓,07-6850588,20000
高雄市私立惠心老人養護之家,美濃區,高雄市美濃區祿興里中興路1段49巷5號1樓,07-6850826,21000
財團法人高雄市私立愛心老人養護中心,美濃區,高雄市美濃區泰安路249巷2之2號1-3樓,07-6813958,20000
財團法人高雄市私立日新老人長期照顧中心（養護型）,美濃區,高雄市美濃區德興里忠孝路1段219號,07-6815800,21000
高雄市私立康乃心老人長期照顧中心(養護型),美濃區,高雄市美濃區中圳里泰中路207號,07-6822033,21000
高雄市私立怡園老人養護中心,湖內區,高雄市湖內區中山路1段402巷8弄35號1-2樓,07-6935989,16000
高雄市私立湖內老人養護之家,湖內區,高雄市湖內區中正路1段315巷22號1樓,07-6990472,23000
高雄市私立慈慧老人長期照顧中心（養護型）,湖內區,高雄市湖內區田尾里中山路1段496巷300號1樓,07-6938505,23000
高雄市私立永新老人長期照顧中心(養護型),路竹區,高雄市路竹區中華路436號,07-6961085,25000
高雄市私立快樂家園老人長期照顧中心（養護型）,路竹區,高雄市路竹區竹南里竹南街93號1樓,07-6960460,21000
財團法人高雄市私立聖和社會福利慈善事業基金會附設高雄市私立聖和老人長期照顧中心（養護型）,路竹區,高雄市路竹區鴨寮里保民路99巷36號1-2樓,07-6071466,23000
高雄市私立慈心老人養護中心,旗山區,高雄市旗山區旗甲路1段215巷21號1-2樓,07-6613077,21000
財團法人高雄市私立合信興老人養護中心,旗山區,高雄市旗山區旗南三路112之2號1-4樓,07-6661236,16000
財團法人高雄市私立寶光建德社會福利慈善事業基金會附設高雄市私立彌勒家園老人長期照顧中心(養護型),六龜區,高雄市六龜區新寮里新威175-6號,07-6871708,24000
高雄市私立宏鑫老人長期照顧中心（養護型）,梓官區,高雄市梓官區公館路139號1至3樓,07-6103630,18000
財團法人台灣省私立台南仁愛之家（新都養護所）,南區,臺南市南區新都路346號,06-2630431,24600
財團法人台灣省私立台南仁愛之家（成功養護中心）,北區,臺南市北區成功路238巷11號,06-2252115,22000
財團法人台灣省私立台南仁愛之家（康寧園安養中心）,北區,臺南市北區公園路321巷8號,06-2254670,20000
財團法人台灣省私立普門仁愛之家,麻豆區,臺南市麻豆區南勢里關帝廟23之15號,06-5722384,21000
財團法人樹河社會福利基金會附設臺灣省私立悠然山莊安養中心,關廟區,臺南市關廟區下湖里關新路一段85號,06-5954188,29800
臺南市私立祐健老人長期照顧中心(養護型),中西區,臺南市中西區開山路90號2、3樓,06-2260303,27000
臺南市私立慈心老人長期照顧中心(養護型),中西區,臺南市中西區臨安路1段193號1~2樓,06-2586999,27000
臺南市私立慈恩老人長期照顧中心(養護型),中西區,臺南市中西區臨安路1段193號3-4樓,06-2501843,23000
臺南市私立慈善老人長期照顧中心(養護型),中西區,臺南市中西區府前一街9巷12弄77、79號,06-2994591,23000
財團法人台南市基督教青年會社會福利慈善事業基金會附設台南市私立臨安老人養護中心,中西區,臺南市中西區民權路3段370號,06-3583000,31500
財團法人台南市私立林澄輝社會福利慈善事業基金會附設臺南市私立璐德老人長期照顧中心(養護型),中西區,臺南市中西區西和路100號,06-3588670,23000
台南市私立長佳老人養護中心,東區,臺南市東區崇學路230巷59號2、3樓,06-2676812,27000
台南市私立佑惠老人養護中心,東區,臺南市東區自由路2段176號1-2樓,06-2695457,22000
台南市私立愛惠老人養護中心,東區,臺南市東區東門路2段236號,06-2684254,18000
台南市私立崇善老人養護中心,東區,臺南市東區崇善路1089巷57號,06-3364911,18000
台南市私立中華老人養護中心,東區,臺南市東區崇善路741號,06-3356320,23000
台南市私立平安老人養護中心,東區,臺南市東區崇明二十街23號,06-2602050,21000
台南市私立千慈老人養護中心,東區,臺南市東區崇道路139號,06-2906407,22000
台南市私立同德老人養護中心,東區,臺南市東區崇德二十六街7號,06-2697970,40000
臺南市私立有德老人長期照顧中心(養護型),東區,臺南市東區自由路1段61號,06-3352768,23000
臺南市私立臻德老人長期照顧中心(養護型),東區,臺南市東區仁和路208巷27號,06-2696828,24000
臺南市私立福康老人長期照顧中心(養護型),南區,臺南市南區大同路2段640巷35弄3、5號,06-2908005,23000
台南市私立瑞園老人長期照顧中心(養護型),南區,臺南市南區三官路205號,06-2652911,23000
財團法人台灣省台南市天主教仁愛修女會附設台南市私立老吾老養護中心,南區,臺南市南區金華路1段530巷19號,06-2643837,28000
臺南市私立國民老人長期照顧中心(養護型),南區,臺南市南區國民路60巷9號,06-2891829,25000
台南市私立明興老人養護中心,南區,臺南市南區明興路320號2-3樓,06-2622377,28000
台南市私立健康老人長期照顧中心(養護型),南區,臺南市南區永南街20號,06-2614516,25000
台南市私立長生老人養護中心,南區,臺南市南區南功街36號,06-2916098,25000
臺南市私立樂活屋老人長期照顧中心(養護型),南區,臺南市南區新興路173號,06-2640777,23000
臺南市私立惠慈老人長期照顧中心(養護型),南區,臺南市南區公英一街37巷35號、41號,06-3368789,25000
臺南市私立康得老人長期照顧中心(養護型),南區,臺南市南區公英一街37巷26號,06-2670027,23000
臺南市私立森川老人長期照顧中心(養護型),南區,臺南市南區喜東里12鄰明興路735巷31號,06-2626009,23000
臺南市私立永承老人長期照顧中心(養護型),南區,臺南市南區永成路2段827巷25弄28號1、2樓,06-2965588,23000
台南市私立慈愛老人養護中心,北區,臺南市北區北園街89號3樓,06-2088818,28000
台南市私立聖功老人養護中心,北區,臺南市北區文成路785號,06-2591081,22000
臺南市私立佳和老人長期照顧中心(養護型),北區,臺南市北區北成路350號,06-2826717,25000
臺南市私立宜家老人長期照顧中心(養護型),北區,臺南市北區成功路246號,06-2230861,23000
臺南市私立正覺老人長期照顧中心(養護型),北區,臺南市北區正覺街47號,06-2525882,23000
臺南市私立詮恩老人長期照顧中心(養護型),北區,臺南市北區公園路952巷42號,06-2520670,21000
臺南市政府社會局委託財團法人樹河社會福利基金會經營臺南市悠然綠園安養暨長期照顧中心,安平區,臺南市安平區建平路2號,06-2957168,29800
財團法人台南市私立吾愛吾家養護中心,安平區,臺南市安平區永華12街27巷10號,06-2952763,27000
台南市私立馨心老人養護中心,安平區,臺南市安平區安平路162號,06-2507032,25000
台南市私立和豐園老人長期照顧中心(養護型),安南區,臺南市安南區國安街196、198號,06-2800959,25000
台南市私立同安老人長期照顧中心(養護型),安南區,臺南市安南區同安路17巷18號,06-2466618,22000
台南市私立佑康老人長期照顧中心(養護型),安南區,臺南市安南區安通路4段119巷24號,06-2569757,23000
臺南市私立佳欣老人長期照顧中心(養護型),安南區,臺南市安南區公學路4段54巷117號,06-2872816,18000
台南市私立麗新老人養護中心,安南區,臺南市安南區公學路4段54巷90號,06-2873078,23000
臺南市私立愛和老人長期照顧中心(養護型),安南區,臺南市安南區海佃路3段273號,06-2560884,19500
臺南市私立安和老人長期照顧中心(養護型),安南區,臺南市安南區長和路4段283號,06-2558385,27000
臺南市私立美麗園老人長期照顧中心(養護型),安南區,臺南市安南區北汕尾三路532號,06-2571212,24000
臺南市私立裕康美老人長期照顧中心(養護型),安南區,臺南市安南區北汕尾三路536號,06-2571212,25000
臺南市私立怡安老人長期照顧中心(養護型),安南區,臺南市安南區怡安路二段516巷86號1樓,06-2455566,23000
臺南市私立東園老人長期照顧中心(養護型) ,安南區,臺南市安南區學東里公學路六段360號,06-2873663,23000
臺南市私立順安老人長期照顧中心(養護型),安南區,臺南市安南區怡安路二段516巷86號2樓,06-2459966,24000
臺南市私立萬安老人長期照顧中心(養護型),新營區,臺南市新營區中營里東山中路57號,06-6330899,25000
臺南市私立萬泰老人長期照顧中心(養護型),新營區,臺南市新營區中營里東山中路55號,06-6330899,25000
臺南市私立欣園老人長期照顧中心(養護型),新營區,臺南市新營區大宏里綠川路8號,06-6337830,23000
臺南市私立合信老人長期照顧中心(養護型),新營區,臺南市新營區新南里明清街14號、14-1號、14-2號、14-3號、14-4號,06-6572886,22000
臺南市私立泰安老人養護中心,新營區,臺南市新營區中營里東山三路69之1號,06-6352262,20000
臺南市私立美安老人養護中心,新營區,臺南市新營區中營里東山三路69號,06-6352262,23000
臺南市私立新營老人長期照顧中心(養護型),新營區,臺南市新營區太南里舊廍2之10號及2之11號,06-6581517,23000
臺南市私立太子宮老人養護中心,新營區,臺南市新營區太南里太子宮316-10及316-11號,06-6525528,22000
臺南市私立佑安老人長期照顧中心(養護型),新營區,臺南市新營區長榮路一段530巷16號,06-6325999,25000
財團法人臺南市私立麻豆社會福利慈善事業基金會附設臺南市私立麻豆老人養護中心,麻豆區,臺南市麻豆區中民里謝厝寮101號之35,06-5710979,24000
臺南市私立清心園老人長期照顧中心(養護型),麻豆區,臺南市麻豆區港尾里客子寮1-27號,06-5700010,25000
臺南市私立宜心園老人長期照顧中心(養護型),麻豆區,臺南市麻豆區港尾里客子寮1-26號,06-5700011,23000
臺南市私立公園老人長期照顧中心(養護型),佳里區,臺南市佳里區六安里佳北路165及165-1號,06-7212829,22000
臺南市私立宏瑋養護院,佳里區,臺南市佳里區建南里四維二街223號,06-7230265,23000
臺南市私立宏佳老人養護院,佳里區,臺南市佳里區建南里四維二街221號,06-7230265,23000
臺南市私立宏祐老人養護之家,佳里區,臺南市佳里區海澄里番子寮45號之16,06-7215700,23000
臺南市私立宏丞老人養護之家,佳里區,臺南市佳里區海澄里番子寮45號之15,06-7215800,23000
臺南市私立康泰老人長期照顧中心(養護型),佳里區,臺南市佳里區建南里佳南路799號,06-7222955,25000
臺南市私立康健老人長期照顧中心(養護型),佳里區,臺南市佳里區建南里佳南路797號,06-7222977,23000
臺南市私立天寶老人長期照顧中心(養護型),新化區,臺南市新化區唪口里唪口201號,06-5982336,21000
臺南市私立松柏養護之家,新化區,臺南市新化區全興里竹子腳136之1號,06-5980662,20000
財團法人臺南市私立佛教觀音村社會福利慈善事業基金會附設臺南市私立觀音村老人養護靜修院,新化區,臺南市新化區那拔里那拔林1-10號,06-5912800,23000
財團法人臺灣省臺南市臺灣首廟天壇附設臺南市私立天壇老人養護中心,新化區,臺南市新化區知義里新和庄22號,06-5800111,26500
臺南市私立安心養護之家,善化區,臺南市善化區昌隆里東勢寮1之17號,06-5835388,22000
臺南市私立健樂老人長期照顧中心(養護型),學甲區,臺南市學甲區豐和里美和4之51號,06-7830536,18000
臺南市私立樂健心邨老人長期照顧中心(養護型),學甲區,臺南市學甲區豐和里美和4之53號,06-7830536,18000
臺南市私立學甲老人養護中心,學甲區,臺南市學甲區秀昌里煥昌140-52號,06-7820353,18000
臺南市私立馨園老人長期照顧中心(養護型),學甲區,臺南市學甲區新達里中山路98號,06-7834077,20000
臺南市私立存德老人養護中心,後壁區,臺南市後壁區菁豐里1之4號,06-6623588,21000
臺南市私立廣恩老人養護中心,東山區,臺南市東山區三榮里木柵60號之1,06-6801785,18000
臺南市私立和平老人長期照顧中心(養護型),下營區,臺南市下營區仁里里工業街2巷19號,06-6898268,22000
臺南市政府社會局委託財團法人高雄市私立萃文書院社會福利慈善事業基金會經營臺南市官田老人養護中心,官田區,臺南市官田區隆本里中華路一段325號,06-5790749,25000
臺南市私立康慈老人長期照顧中心(養護型),大內區,臺南市大內區頭社里頭社83之16號,06-5761878,23000
臺南市私立藤澤養護之家,西港區,臺南市西港區劉厝里十三鄰劉厝110之3號,06-7952180,25000
臺南市私立春柏老人長期照顧中心(養護型),西港區,臺南市西港區永樂里溪埔寮162號,06-7955397,28000
臺南市私立家園老人養護中心,西港區,臺南市西港區慶安里中山路479號,06-7955282,21000
臺南市私立為仁老人長期照顧中心(養護型),西港區,臺南市西港區慶安里中州89號,06-7956402,20000
臺南市私立藤龍老人長期照顧中心(養護型),西港區,臺南市西港區劉厝里劉厝8之15號,06-7958138,22000
臺南市私立順園老人長期照顧中心（養護型）,將軍區,臺南市將軍區長榮里長榮66-12號,06-7941286,25000
臺南市私立喜園老人長期照顧中心（養護型）,將軍區,臺南市將軍區長榮里長榮66-11號,06-7941286,25000
臺南市私立善園老人長期照顧中心（養護型）,將軍區,臺南市將軍區長榮里長榮66-13號,06-7941286,25000
臺南市私立惠群老人長期照顧中心(養護型),仁德區,臺南市仁德區成功里成功一街106號,06-2684356,20000
臺南市私立慈安老人長期照顧中心(養護型),仁德區,臺南市仁德區成功里成功二街200號,06-2905728,27000
臺南市私立迦南山莊老人長期照顧中心(養護型),仁德區,臺南市仁德區仁德里裕忠三街85號,06-2884303,23000
臺南市私立尚美老人養護中心,仁德區,臺南市仁德區後壁里中正路2段187巷12、16號,06-2496576,22000
